WK_NAAM;WK_CODE;INWONERS;MANNEN;VROUWEN;AANTAL_0_15_JAAR;AANTAL_15_25_JAAR;AANTAL_25_45_JAAR;AANTAL_45_65_JAAR;AANTAL_65_PLUS;WESTERSE_ACHTERGROND;NIET_WESTERSE_ACHTERGROND;ARBEIDSPARTICIPATIE
Bohemen en Meer en Bos;BU05181492;4470;1945;2525;385;285;775;1255;1765;885;350;61
Wijk 15 Kijkduin en Ockenburgh;WK051815;2650;1300;1345;260;260;380;865;890;475;275;60
Ockenburgh;BU05181590;960;485;475;105;110;180;365;205;170;145;61
Kijkduin;BU05181591;1690;820;870;160;150;200;500;685;305;130;60
Wijk 16 Kraayenstein en Vroondaal;WK051816;7265;3740;3525;1460;660;1875;2095;1175;1155;1195;71
Kraayenstein en Vroondaal;BU05181697;7260;3740;3520;1465;660;1875;2090;1180;1155;1190;71
Wijk 17 Loosduinen;WK051817;17925;8675;9250;2690;1780;4140;4915;4395;2350;3965;61
Kerketuinen en Zichtenburg;BU05181785;110;90;25;0;25;45;40;5;10;60;.
Houtwijk;BU05181786;12775;6275;6500;2085;1355;2930;3585;2810;1635;3160;63
Kom Loosduinen;BU05181795;5040;2315;2725;600;395;1170;1295;1575;705;745;58
Wijk 18 Waldeck;WK051818;17505;8135;9375;2240;1335;3695;4510;5735;2765;3440;58
Waldeck-Zuid;BU05181806;2025;895;1130;255;155;360;570;680;310;465;54
Nieuw Waldeck;BU05181840;7300;3515;3780;1320;700;1805;1940;1535;1035;1935;59
Rosenburg;BU05181882;3235;1555;1680;300;220;760;775;1180;500;535;60
Componistenbuurt;BU05181893;1840;825;1020;200;135;315;550;650;400;155;62
Waldeck-Noord;BU05181894;3110;1345;1765;160;125;460;675;1685;520;345;54
Wijk 19 Vruchtenbuurt;WK051819;9805;4635;5170;1735;950;2645;2770;1705;1745;910;75
Vruchtenbuurt;BU05181953;7200;3415;3785;1350;705;1900;2005;1235;1260;680;75
Eykenduinen;BU05181983;2610;1220;1390;385;245;750;760;470;490;230;74
Wijk 20 Valkenboskwartier;WK051820;18360;9055;9305;2685;2145;7050;4550;1925;4440;5015;71
Heesterbuurt;BU05182054;6815;3260;3550;1075;735;2570;1685;765;1540;1560;68
Valkenboskwartier;BU05182055;11545;5790;5755;1615;1420;4485;2865;1160;2900;3450;73
Wijk 21 Regentessekwartier;WK051821;13950;6930;7020;1940;1565;5710;3240;1500;3370;3920;71
Rond de Energiecentrale;BU05182110;6350;3200;3150;835;755;2625;1450;685;1450;2335;68
Koningsplein en omgeving;BU05182144;7600;3730;3870;1100;805;3080;1790;815;1920;1585;72
Wijk 22 Zeeheldenkwartier;WK051822;12400;6300;6095;1470;1610;4855;3045;1425;3025;3335;66
Zeeheldenkwartier;BU05182245;12400;6300;6095;1470;1605;4850;3045;1425;3025;3335;66
Wijk 23 Willemspark;WK051823;1620;815;810;180;135;570;440;305;610;270;64
Willemspark;BU05182347;1625;815;810;175;140;565;440;300;610;270;64
Wijk 24 Haagse Bos;WK051824;480;240;240;25;30;135;90;195;150;95;64
Haagse Bos;BU05182449;475;240;240;20;30;140;90;195;150;95;64
Wijk 25 Mariahoeve en Marlot;WK051825;15390;7360;8025;2340;1255;4830;3695;3280;3140;5285;60
Landen;BU05182561;5255;2510;2740;855;445;1710;1240;1010;980;2110;59
Kampen;BU05182567;2735;1370;1365;435;195;970;635;500;555;945;60
